Brand Name,Device Type,Model Name,Color,Selling Price,Sales Qantity,Rating (Out of 5),Strap Material,Average Battery,date
huami,Smartwatch,Amazfit GTS 2e,Purple,"7,999",14,4.2,Silicone,14,05-08-2023
APPLE,Smartwatch,FTW1144 Q Hybrid,Black,"8,995",25,4.6,Leather,2,13-12-2022
GARMIN,Smartwatch,Vivomove,Black,"31,990",10,3.3,Silicone,7,14-07-2022
Crossbeats,Smartwatch,ZEB-FIT5220CH,Gold,"3,299",21,,Rubber,7,08-03-2023
Honor,FitnessBand,Band Z1,Black,"5,499",11,3.9,Plastic,14,21-06-2022
FitBit,FitnessBand,Flex Small,"Violet, black, Grey, Teal, Blue, Red","8,490",15,3.8,Rubber,5,23-08-2023
APPLE,Smartwatch,FTW4010 Gold HR,Gold,"15,995",17,4.8,Stainless Steel,6,04-07-2022
APPLE,Smartwatch,Gen 3 Q Explorist,Blue,"15,034",12,4.3,Stainless Steel,2,19-10-2022
GARMIN,Smartwatch,Fenix 5s,"Black, White ","34,990",18,,Silicone,30,03-01-2022
GARMIN,Smartwatch,Forerunner,Black,"16,990",9,,Silicone,14,30-06-2022
APPLE,Smartwatch,FTW2115 Q Watch,Red,"18,995",24,4.6,Stainless Steel,2,13-08-2023
APPLE,Smartwatch,Sloan HR,Blue,"21,995",24,4.1,Silicone,14,04-06-2023
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Red Aluminium Case,Red,"45,690",15,4.5,Aluminium,1,16-05-2022
APPLE,Smartwatch,SE GPS + Cellular 44 mm Space Grey Aluminium Case,Charcoal,"33,900",19,4.6,Aluminium,1,08-09-2022
GARMIN,Smartwatch,Fenix 6,"Black, Grey","74,990",20,,Leather,30,07-03-2023
FitBit,Smartwatch,Versa 3,"Black, Blue, Pink","17,999",12,4.3,Elastomer,7,29-04-2022
APPLE,Smartwatch,Q Jacqueline,Gold,"13,495",13,4.4,Silicone,1,17-03-2022
FitBit,FitnessBand,Inspire 2,"Black, Desert Rose, Lunar White","6,999",22,4.4,Thermoplastic polyurethane,10,21-11-2022
huami,Smartwatch,Amazfit GTS 2,Black,"11,999",16,4.1,Silicone,7,28-03-2022
APPLE,Smartwatch,Gen 5 Julianna HR,Blue,"15,995",18,4.3,Stainless Steel,2,27-05-2022
APPLE,Smartwatch,Series 3 GPS - 38 mm Space Grey Aluminium Case,Black,"16,900",16,4.6,Aluminium,1,07-08-2023
GARMIN,Smartwatch,Venu,Blue,"31,990",16,4,Silicone,7,21-04-2022
APPLE,Smartwatch,Rose Gold HR,Rose Gold ,"21,995",24,2.8,Stainless Steel,3,28-02-2022
SAMSUNG ,Smartwatch,Gear Live,Black,"15,900",25,4.2,Rubber,7,04-02-2023
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,Black,"28,999",16,5,Elastomer,14,16-02-2022
huami,Smartwatch,Amazfit Bip S,Black,"5,299",11,4,Thermoplastic polyurethane,15,08-07-2022
APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Gold Stainless Steel Case,Gold Milanese,"73,900",19,4.2,Stainless Steel,1,26-02-2022
APPLE,Smartwatch,Q Wander,Silver,"3,799",21,4,Stainless Steel,1,13-02-2023
APPLE,Smartwatch,SE GPS + Cellular 40 mm Gold Aluminium Case,Silver Milanese,"67,900",16,4.5,Aluminium,1,02-06-2022
boAt,Smartwatch,46 mm,"Black, Gold","14,990",16,3.9,Rubber,14,15-08-2022
FitBit,Smartwatch,Versa 2,"Grey, Pink, Black","11,999",17,4.3,Silicone,7,30-11-2022
SAMSUNG ,Smartwatch,Gear Fit 2,"Pink, Blue","15,000",23,4.2,Silicone,7,11-05-2022
huami,Smartwatch,Amazfit Bip S,Black,"5,299",16,4,Thermoplastic polyurethane,15,23-05-2022
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Black,"2,000",10,3.8,Rubber,7,20-01-2023
GARMIN,Smartwatch,Swim 2,Slate,"20,990",6,,Silicone,7,16-05-2022
GARMIN,Smartwatch,Fenix 6,"Black, Grey","74,990",7,,Leather,30,03-03-2022
GARMIN,Smartwatch,Forerunner,Blue,"29,990",16,,Silicone,14,21-08-2023
APPLE,Smartwatch,Gen 5 Garrett HR,Black,"14,995",16,4.1,Stainless Steel,2,16-08-2022
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,"28,990",24,4.3,Leather,14,02-06-2022
GOQii,FitnessBand,Beat,Black,"2,999",19,2.8,Silicone,7,02-10-2022
APPLE,Smartwatch,FTW5003 Hybrid,Gold,"12,995",8,4.6,Stainless Steel,2,15-10-2022
GARMIN,Smartwatch,Venu,Blue,"31,990",14,4,Silicone,7,05-10-2022
APPLE,Smartwatch,Sloan HR,Black,"24,495",24,4.1,Silicone,14,22-10-2022
APPLE,Smartwatch,SE GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"33,900",8,4.6,Aluminium,1,19-10-2022
Fire-Boltt,Smartwatch,Ultron,"Black, Blue, Grey, Pink ","3,999",12,4.1,Silicone,5,26-07-2022
SAMSUNG ,Smartwatch,Galaxy Classic 4,Blue,"34,999",23,4.6,Silicone,14,15-07-2023
SAMSUNG ,Smartwatch,T-Mobile,Black,"21,990",25,4.3,Leather,14,25-03-2023
APPLE,Smartwatch,Q Founder 2.0,Blue,"11,397",23,4.1,Stainless Steel,1,12-03-2022
GARMIN,Smartwatch,Vivomove 3S,Black,"19,990",22,,Silicone,14,05-06-2022
boAt,Smartwatch,Stainless Steel,Black,"19,990",12,4.5,Leather,14,11-04-2022
GARMIN,Smartwatch,Forerunner 935,"Black, Green, Yellow","42,990",7,4.7,Silicone,14,19-05-2023
boAt,Smartwatch,GT2 Pro,Grey,"24,990",9,3.5,Elastomer,14,24-02-2023
Fire-Boltt,Smartwatch,Mercury,"Black, Beige, Grey","2,499",21,4,Silicone,8,27-02-2023
Honor,FitnessBand,Band 6,"Sandstone Grey, Meteorite Black, Coral Pink, ","2,999",8,4.3,Plastic,14,12-02-2023
APPLE,Smartwatch,Series 6 GPS 44 mm Red Aluminium Case,Red,"40,190",8,4.5,Aluminium,1,18-12-2022
SAMSUNG ,Smartwatch,R600NZBAXAR 600,Blue,"21,390",23,4.5,Rubber,14,28-10-2022
Fastrack,Smartwatch,Reflex 3.0,Black,"2,200",18,4.1,Silicone,4,20-08-2022
GARMIN,Smartwatch,FORERUNNER 745 Magma Red,Magma Red,"46,990",25,,Silicone,14,14-01-2022
Honor,FitnessBand,Band 6,"Sandstone Grey, Meteorite Black, Coral Pink, ","2,999",15,4.3,Plastic,14,19-12-2022
APPLE,Smartwatch,Garrett HR,Grey,"14,995",25,4.1,Leather,14,24-06-2022
GARMIN,Smartwatch,HR GPS Smart,Black,"15,999",25,,Silicone,14,06-05-2022
realme,FitnessBand,Smart band,Grey,"1,450",7,4,Silicone,7,23-12-2022
realme,Smartwatch,Watch Pro,"Blue, Black","3,799",12,4.2,Silicone,14,27-07-2023
Fire-Boltt,Smartwatch,Ninja Pro,White,"1,999",23,4,Silicone,10,05-01-2023
Noise,Smartwatch,RevolveActive,Black,"12,999",11,4.4,Silicone,14,31-03-2023
APPLE,Smartwatch,FTW6009 Black HR,Black,"13,995",8,4.1,Leather,14,07-07-2022
realme,Smartwatch,2 Pro,Grey,"4,999",20,4.4,Silicone,14,16-04-2023
APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"52,900",11,4.7,Aluminium,1,24-10-2022
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Space Grey Aluminium Case,Black,"48,490",24,4.5,Aluminium,1,26-03-2022
APPLE,Smartwatch,Collider Hybrid,Black,"16,495",9,4,Silicone,14,02-09-2022
APPLE,Smartwatch,Jacqueline Hybrid,Navy ,"8,995",7,4,Leather,12,15-08-2023
APPLE,Smartwatch,8 mm Stainless Steel Case,Milanese,"56,900",14,4.6,Stainless Steel,1,11-03-2022
GARMIN,Smartwatch,Fenix 6S,"Black, White","77,990",13,,Nylon,45,07-02-2022
APPLE,Smartwatch,Q Wander,Gold,"19,995",23,4,Stainless Steel,1,14-04-2023
Crossbeats,Smartwatch,ZEB-FIT1220CH,Silver,"3,499",25,,Silicone,7,09-07-2022
APPLE,Smartwatch,Series 1 - 38 mm Silver Aluminium Case,White,"21,900",9,4.6,Aluminium,1,11-05-2023
APPLE,Smartwatch,Nike+ GPS - 42 mm Space Gray Aluminium Case,Black,"32,380",19,4.6,Aluminium,1,27-02-2022
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,"39,490",9,4.3,Leather,14,29-06-2022
GARMIN,Smartwatch,Vivomove 3S,Black,"19,990",19,,Silicone,14,13-02-2023
APPLE,Smartwatch,Jacqueline Hybrid,Silver,"13,495",15,4.6,Leather,12,14-03-2023
APPLE,Smartwatch,series 2 - 38 mm Stainless Steel Case,Blue Modern,"64,900",14,4.6,Stainless Steel,1,22-05-2022
FitBit,FitnessBand,Charge 2,Violet ,"14,999",11,4.3,Silicone,7,29-06-2023
SAMSUNG ,Smartwatch,Neo Gear 2,Black,"15,500",15,3.9,Rubber,7,02-06-2022
APPLE,Smartwatch,Q Control,Brown,"15,995",6,4.3,Silicone,1,20-06-2023
huami,Smartwatch,Amazfit Bip S,Red,"2,999",16,3.9,Thermoplastic polyurethane,15,14-01-2022
APPLE,Smartwatch,Neely,White,"8,995",17,4.7,Leather,1,05-02-2022
APPLE,Smartwatch,Garrett,Brown,"8,995",23,3.7,Leather,1,15-04-2022
GARMIN,Smartwatch,GARMINInstinct HR,"Graphite, Sunburst","34,990",12,4.1,Silicone,14,06-03-2022
APPLE,Smartwatch,FTW1146 Q Hybrid,Gold,"11,995",23,4.6,Leather,2,12-08-2023
GARMIN,Smartwatch,Vivomove 3S,Black,"19,990",24,,Silicone,14,24-10-2022
SAMSUNG ,Smartwatch,Gear Fit 2,"Pink, Blue","15,000",16,4.2,Silicone,7,03-01-2023
realme,FitnessBand,Band 2,Black,"2,999",25,4.1,Silicone,7,09-01-2022
GARMIN,Smartwatch,Vivomove HR,Black,"16,990",21,3.6,Silicone,14,24-07-2022
FitBit,FitnessBand,Inspire,Maroon ,"7,990",15,4.2,Silicone,5,02-05-2023
GARMIN,Smartwatch,Forerunner 935,Tidal Blue,"39,990",12,4.7,Silicone,14,08-07-2023
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,"18,999",6,4.2,Leather,14,04-04-2022
huami,Smartwatch,Amazfit Bip S,"Green, Grey","3,799",6,3.9,Thermoplastic polyurethane,15,03-12-2022
FitBit,FitnessBand,Charge 2,Blue ,"8,999",17,4.4,Silicone,7,09-01-2022
Noise,FitnessBand,ColorFit2,"Black, Blue, Pink","1,699",12,3.9,Thermoplastic polyurethane,7,26-02-2023
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Silver Stainless Steel Case,Silver Milanese,"77,900",8,4.5,Stainless Steel,1,22-07-2023
Crossbeats,Smartwatch,ZEB-FIT650CH,Black,"3,297",16,2.9,Silicone,7,07-08-2022
APPLE,Smartwatch,FTW5016 Hybrid,Silver,"6,995",7,4.6,Stainless Steel,2,09-03-2023
SAMSUNG ,Smartwatch,Galaxy Watch 4 Classic LTE,Black,"40,000",15,4.6,Elastomer,14,01-01-2022
GARMIN,Smartwatch,Approach S12,"Black, White","18,990",10,4,Silicone,12,12-06-2023
boAt,Smartwatch,Watch 36456,Black,"55,000",9,4.1,Silicone,14,16-07-2023
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Red Aluminium Case,Red,"48,490",18,4.5,Aluminium,1,20-08-2022
FitBit,FitnessBand,Lunar,White ,"10,899",10,4.7,Silicone,7,16-06-2023
SAMSUNG ,Smartwatch,Galaxy 46mm,Grey,"16,990",12,4.5,Elastomer,7,26-02-2022
APPLE,Smartwatch,5th Gen Julianna,Black ,"15,995",11,4.6,Stainless Steel,1,08-02-2023
APPLE,Smartwatch,SE 44 mm Gold Aluminium Case,Pink Sand,"30,400",11,4.7,Aluminium,1,27-12-2022
boAt,Smartwatch,GT2 eSport,Black,"11,990",17,4.3,Elastomer,14,28-05-2022
APPLE,Smartwatch,SE GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"43,900",7,4.5,Aluminium,1,21-07-2022
GARMIN,Smartwatch,Forerunner 245 Music Japan Edition,"Red, White ","29,990",14,,Silicone,14,16-12-2022
APPLE,Smartwatch,SE GPS + Cellular 40 mm Aluminium Case,Black,"33,900",6,4.6,Aluminium,1,13-05-2023
boAt,Smartwatch,Storm,"Black, Teal Green, Grey","2,999",23,4.1,Thermoplastic polyurethane,7,27-04-2023
GARMIN,Smartwatch,Tronite,Brown,949,23,3.7,Silicone,3,27-02-2022
APPLE,Smartwatch,38 mm Space Black Stainless Steel Case,Black,"48,900",6,4.6,Stainless Steel,1,16-07-2023
GARMIN,Smartwatch,Forerunner,Black,"27,990",6,,Silicone,14,07-11-2022
boAt,Smartwatch,Xplorer,"Black, Red, Blue","3,499",22,3.8,Thermoplastic polyurethane,10,15-02-2023
GARMIN,Smartwatch,Approach S12,"Black, White","18,990",18,4,Silicone,12,10-08-2023
GARMIN,Smartwatch,Fenix 5X,Black,"58,490",8,,Silicone,30,25-01-2023
GARMIN,Smartwatch,Forerunner 235 Activity Tracker,Black,"22,990",20,,Silicone,14,27-08-2022
realme,FitnessBand,Band,Black,"1,290",10,4,Silicone,7,02-03-2022
Noise,Smartwatch,ColorFit Brio,"Black, Pink","2,999",9,4.3,Thermoplastic polyurethane,10,28-09-2022
boAt,Smartwatch,GT2 eSport,Black,"11,990",11,4.3,Elastomer,14,23-02-2022
FitBit,Smartwatch,Blaze,Purple,"17,999",10,4.2,Elastomer,7,26-10-2022
SAMSUNG ,Smartwatch,Gear R730V S2,Grey,"18,532",15,4.6,Elastomer,14,22-05-2022
APPLE,Smartwatch,Wander RG,Black,"18,995",10,4,Silicone,5,17-11-2022
APPLE,Smartwatch,Charter Hybrid HR,Silver,"12,396",7,3.9,Leather,12,02-12-2022
GARMIN,Smartwatch,Vivoactive 3 element,Grey,"13,578",12,3.6,Silicone,14,30-07-2023
GARMIN,Smartwatch,Vivomove Luxe,"Black, Silver, White","39,990",5,,Silicone,14,03-02-2023
SAMSUNG ,Smartwatch,Gear 2,Black,"19,999",14,2.3,Silicone,14,24-05-2022
FitBit,FitnessBand,Flex Small,"Violet, black, Grey, Teal, Blue, Red","8,490",8,3.8,Rubber,5,16-02-2022
Noise,Smartwatch,Evolve,"Black, Grey, Red","4,999",14,3.9,Thermoplastic polyurethane,7,22-08-2023
APPLE,Smartwatch,Gen 5 Garrett HR,Silver,"15,995",18,4.1,Stainless Steel,2,20-03-2022
Noise,Smartwatch,ColorFit Qube SpO2,"Charcoal Black, Beige Gold","2,499",22,4.3,Thermoplastic polyurethane,7,09-01-2022
huami,Smartwatch,Amazfit GTR 42,Red,"9,999",19,4.3,Silicone,12,23-07-2023
APPLE,Smartwatch,4th Gen Venture HR,Black,"13,195",5,3.9,Stainless Steel,14,02-08-2022
Honor,FitnessBand,Band 3,Dynamic Orange,"2,499",8,4.3,Plastic,7,26-02-2022
GARMIN,Smartwatch,Venu,Black,"32,990",10,4,Silicone,14,16-08-2023
Fire-Boltt,Smartwatch,Talk Bluetooth,"Black, Grey, Green","3,499",5,4.1,Silicone,10,23-06-2023
APPLE,Smartwatch,Sport 41,"Blue, Black, Gray","17,995",19,4,Silicone,2,17-11-2022
APPLE,Smartwatch,Marshall,Silver,"18,995",11,4,Stainless Steel,1,02-07-2023
FitBit,Smartwatch,Blaze,Purple,"17,999",9,4.2,Elastomer,7,16-06-2023
SAMSUNG ,Smartwatch,Galaxy Active Steel 2,Black,"24,490",19,4.3,Silicone,14,25-10-2022
APPLE,Smartwatch,FTW6007,Brown,"19,995",7,4.1,Leather,2,08-03-2023
GARMIN,Smartwatch,GARMINInstinct Solar Tactical,Grey ,"46,990",21,,Silicone,14,17-06-2023
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Space Grey Aluminium Case,Black,"48,490",9,4.5,Aluminium,1,27-03-2023
boAt,Smartwatch,Fit,Blue,"9,999",16,3.4,Silicone,7,06-06-2022
huami,Smartwatch,Amazfit GTS 2,Black,"11,999",11,4.1,Silicone,7,18-12-2022
APPLE,Smartwatch,Sport,Black,"17,995",18,4.6,Silicone,2,11-08-2023
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Red Aluminium Case,Red,"45,690",10,4.5,Aluminium,1,16-11-2022
huami,Smartwatch,Amazfit Bip S,White ,"4,999",19,4,Thermoplastic polyurethane,15,19-12-2022
GARMIN,Smartwatch,Fenix 6 Pro Solar,"Grey, Black","72,990",5,,Nylon,45,08-04-2023
GARMIN,Smartwatch,Venu,Black,"32,990",9,4,Silicone,14,16-03-2023
APPLE,Smartwatch,Sport 41,"Red, Green","9,995",19,4,Silicone,2,05-12-2022
APPLE,Smartwatch,SE 44 mm Gold Aluminium Case,Pink Sand,"30,400",6,4.7,Aluminium,1,12-08-2023
boAt,Smartwatch,Watch 32564546,Black,"49,999",21,4.1,Silicone,14,25-02-2022
APPLE,Smartwatch,Gen 3 Q Venture,Silver,"19,995",9,4.3,Stainless Steel,1,07-03-2023
Fire-Boltt,Smartwatch,SpO2 Full Touch,"Black, Blue, Grey, Pink, Gold","2,999",25,4,Silicone,8,18-06-2023
APPLE,Smartwatch,4th Gen Venture HR,Black,"13,195",17,3.9,Stainless Steel,14,18-02-2022
APPLE,Smartwatch,SE GPS + Cellular 40 mm Silver Aluminium Case,White,"31,400",16,4.6,Aluminium,1,26-06-2022
APPLE,Smartwatch,Series 6 GPS 44 mm Blue Aluminium Case,Deep Navy,"43,900",18,4.5,Aluminium,1,20-05-2023
FitBit,Smartwatch,Blaze,Blue,"19,999",5,4.2,Elastomer,7,03-04-2022
APPLE,Smartwatch,FTW6005,Black,"19,995",21,3.8,Stainless Steel,2,07-08-2023
APPLE,Smartwatch,Series 1 - 38 mm Silver Aluminium Case,White,"21,900",17,4.6,Aluminium,1,25-06-2023
SAMSUNG ,Smartwatch,Gear 2,Black,"19,999",14,2.3,Silicone,14,19-07-2022
Noise,Smartwatch,ColorFit IconBuzz,"Black, Green, Grey","4,999",6,,Silicone,7,21-12-2022
Fire-Boltt,Smartwatch,Ninja Pro,White,"1,999",25,4,Silicone,10,14-05-2022
FitBit,FitnessBand,Charge 2,Black ,"7,498",24,4.3,Silicone,7,17-07-2022
boAt,Smartwatch,Fit,Blue,"9,999",14,3.4,Silicone,7,21-02-2023
FitBit,FitnessBand,Charge 4,"Storm Blue, Black, Rosewood","9,999",22,4.2,Elastomer,7,17-02-2022
Fire-Boltt,Smartwatch,Spin,"Blue, Grey, Pink","5,846",19,2.4,Silicone,5,28-01-2023
Honor,Smartwatch,Watch ES,"Black, Pink","4,999",5,4.3,Silicone,10,16-02-2023
APPLE,Smartwatch,Machine Hybrid,"Silver, Brown","11,995",18,4.6,Stainless Steel,12,21-08-2022
APPLE,Smartwatch,FTW6009 Black HR,Black,"13,995",25,4.1,Leather,14,01-08-2022
FitBit,Smartwatch,Surge,Blue,"24,990",18,3.8,Elastomer,7,19-08-2022
APPLE,Smartwatch,Gen 5 Carlyle HR,"Brown, Grey","14,995",12,4.2,Leather,2,07-07-2023
